Id,AB_Thorn,AB_W_Thorn,Nar,Cal,cal_riosu_zr, Na_un_cusal,Na_un_cusba,srtm,slope,intDrain,extDrain,effDepth,trmm_0,trmm_1,trmm_2,trmm_3,tempAvg_0,tempRang_0,PrecAcc_0,tempAvg_1,tempRang_1,PrecAcc_1,tempAvg_2,tempRang_2,PrecAcc_2,tempAvg_3,tempRang_3,PrecAcc_3,Yield
273,1,0,0,1,0,0,0,2040,8,3,2,63,4.7677761,3.468,7.483230533,10.8781605,17.2,9.2,148,17.1,9.2,145,166,86,211,165,85,296,0.09821
274,1,1,0,0,0,0,1,2378,37,2,3,70,1.973482197,4.968935433,4.172439767,2.637404067,14.4,7.6,187,14.3,7.4,294,143,73,359,146,80,248,0.09889
275,1,0,0,1,0,0,0,2040,8,3,2,63,0.4490539,6.584,7.498,10.69884203,17.2,9.2,148,17.1,9.2,145,166,86,211,165,85,296,0.10119
276,1,1,0,0,0,0,1,2378,37,2,3,70,2.05965613,3.012508667,5.817395433,2.8541115,14.5,8,131,14.4,7.6,187,143,74,294,143,73,359,0.10222
277,1,1,0,0,0,0,1,2378,37,2,3,70,1.4904492,1.006705167,3.559744267,4.7913762,14.7,8.1,204,14.9,8.4,197,148,76,224,149,72,333,0.10333
278,1,1,0,0,0,0,1,2326,16,2,3,80,3.401254767,2.907155333,4.404803667,3.214887937,15.8,8.4,178,15.7,7.6,208,158,72,319,153,74,280,0.10402
279,1,1,0,0,0,0,1,2378,37,2,3,70,1.292576267,3.525988867,4.457657933,3.145616267,14.9,8.4,197,14.8,7.6,224,149,72,333,142,75,314,0.10556
280,1,1,0,0,0,0,1,2378,37,2,3,70,1.490694767,1.018937,4.036146067,4.423865,14.7,8.1,204,14.9,8.4,197,148,76,224,149,72,333,0.10667
281,1,0,0,1,0,0,0,1960,14,3,2,64,3.546941767,0.4490539,6.348,6.654,17.6,9.2,202,17.4,9.3,161,172,92,148,171,92,145,0.10714
282,1,1,0,0,0,0,1,2307,36,2,3,70,3.401254767,2.907155333,4.404803667,3.214887937,14.9,8.4,197,14.8,7.6,224,149,72,333,142,75,314,0.10952
283,1,1,0,0,0,0,1,2307,36,2,3,70,5.257953733,3.3270369,2.575953667,1.490694767,14.3,7.4,294,14.3,7.3,359,146,80,248,147,81,204,0.1119
284,1,1,0,0,0,0,1,2378,37,2,3,70,1.571172597,4.988865433,4.342229967,2.916058067,14.4,7.6,187,14.3,7.4,294,143,73,359,146,80,248,0.11222
285,1,0,0,1,0,0,0,2040,8,3,2,63,0.5387561,6.348,4.962,10.89134387,17.4,9.3,161,17.2,9.2,148,171,92,145,166,86,211,0.1131
286,1,1,0,0,0,0,1,1297,12,1,2,75,0.73933,4.038297533,3.570043233,2.859755767,23,11.4,130,22.7,10.3,176,231,96,263,230,103,247,0.11333
287,1,0,0,1,0,0,0,1960,14,3,2,64,4.064582967,0.7303236,6.248,3.836,17.6,9.2,202,17.4,9.3,161,172,92,148,171,92,145,0.11508
288,1,0,0,1,0,0,0,1960,14,3,2,64,0.4490539,6.348,7.576,10.1728177,17.4,9.3,161,17.2,9.2,148,171,92,145,166,86,211,0.11905
289,1,1,0,0,0,0,1,2307,36,2,3,70,4.490317233,4.691298067,2.901512867,1.3218506,14.3,7.4,294,14.3,7.3,359,146,80,248,147,81,204,0.11905
290,1,1,0,0,0,0,1,2307,36,2,3,70,5.083606533,3.991674767,2.857289267,1.4100636,14.3,7.4,294,14.3,7.3,359,146,80,248,147,81,204,0.11905
291,1,0,0,1,0,0,0,2040,8,3,2,63,3.466876267,1.3041268,6.0431731,3.364,17.6,9.2,202,17.4,9.3,161,172,92,148,171,92,145,0.12054
292,1,1,0,0,0,0,1,2307,36,2,3,70,5.2310603,4.181314163,4.055107833,0.543171333,14.8,7.6,224,14.9,7.2,333,142,75,314,150,79,233,0.12143
293,1,0,0,1,0,0,0,1960,14,3,2,64,1.517618,4.7677761,3.468,7.483230533,17.4,9.3,161,17.2,9.2,148,171,92,145,166,86,211,0.12302
294,1,1,0,0,0,0,1,2307,36,2,3,70,1.973482197,4.968935433,4.172439767,2.637404067,14.4,7.6,187,14.3,7.4,294,143,73,359,146,80,248,0.12381
295,1,0,0,1,0,0,0,1960,14,3,2,64,0.6325127,6.348,4.744,10.76607887,17.4,9.3,161,17.2,9.2,148,171,92,145,166,86,211,0.12698
296,1,0,0,1,0,0,0,2051,11,3,2,67,2.991369667,2.985789233,0.4490539,6.348,17.2,9.2,159,17.1,9.1,201,170,93,163,167,91,149,0.13095
297,1,0,0,1,0,0,0,2040,8,3,2,63,4.064582967,0.7303236,6.248,3.836,17.6,9.2,202,17.4,9.3,161,172,92,148,171,92,145,0.13244
298,1,0,0,1,0,0,0,1960,14,3,2,64,1.3600291,6.3102833,3.37,10.0386372,17.4,9.3,161,17.2,9.2,148,171,92,145,166,86,211,0.13889
299,1,1,0,0,0,0,1,2378,37,2,3,70,1.594145567,3.539792667,3.266171933,4.096487167,14.9,8.4,197,14.8,7.6,224,149,72,333,142,75,314,0.14222
300,1,1,0,0,0,0,1,2307,36,2,3,70,5.534138133,3.317145467,1.5532944,1.529360067,14.3,7.4,294,14.3,7.3,359,146,80,248,147,81,204,0.14286
301,1,1,0,0,0,0,1,2378,37,2,3,70,1.529360067,1.6490497,4.1522457,4.678530467,14.7,8.1,204,14.9,8.4,197,148,76,224,149,72,333,0.14778
302,1,0,0,1,0,0,0,2040,8,3,2,63,1.3808654,4.7960552,3.28,7.9242132,17.4,9.3,161,17.2,9.2,148,171,92,145,166,86,211,0.14881
303,1,1,0,0,0,0,1,2307,36,2,3,70,2.915040567,1.2986223,1.268334367,3.456328267,14.6,8,248,14.7,8.1,204,149,84,197,148,76,224,0.15
304,1,0,0,1,0,0,0,2040,8,3,2,63,3.546941767,0.4490539,6.348,6.654,17.6,9.2,202,17.4,9.3,161,172,92,148,171,92,145,0.15179
305,1,0,0,1,0,0,0,2051,11,3,2,67,1.858177233,3.979479267,0.7303236,6.248,17.2,9.2,159,17.1,9.1,201,170,93,163,167,91,149,0.15476
306,1,0,0,0,0,1,0,1892,12,3,2,29,3.546941767,0.4490539,6.348,6.654,17.7,9.1,204,17.6,9.3,161,172,91,146,171,91,143,0.15584
307,1,0,0,1,0,0,0,2040,8,3,2,63,2.780262133,0.4490539,6.584,8.260950333,17.4,9.3,161,17.2,9.2,148,171,92,145,166,86,211,0.15774
308,1,0,0,1,0,0,0,2051,11,3,2,67,2.935277567,2.609473233,3.4390539,4.406,17.1,9.1,201,17,9.3,163,167,91,149,167,92,149,0.16071
